id,language,prompt,domain
gpt-100,my,အကြီးဆုံးကြောင်ကဘာလဲ၊ အနက်ရောင်နဲ့ လိမ္မော်ရောင်အစင်းကြောင်းတွေကြောင့် နာမည်ကြီးပါတယ်။,animals
lmsys-1,my,ဘရာဇီးနိုင်ငံရဲ့ ပထမဆုံးသမ္မတက ဘယ်သူလဲ။,none
lmsys-2,my,ပြင်သစ်နိုင်ငံရဲ့ မြို့တော်က ဘာလဲ။,none
lmsys-3,my,ဘယ်အရာက ပိုအလေးချိန်လဲ- အမွေးနှစ်ပေါင် သို့မဟုတ် အုတ်တစ်ပေါင်။,none
lmsys-4,my,2013 မှာ အမေရိကန်သမ္မတက ဘယ်သူလဲ။,none
lmsys-5,my,မျဉ်းအပိုင်းတစ်ခု၏ အဆုံးမှတ်များသည် (၂၊ -၂) နှင့် (၁၀၊ -၂) ဖြစ်ပါက၊ အပိုင်း၏အရှည်မှာ အဘယ်နည်း။,none
lmsys-6,my,တန်ဇန်းနီးယားရဲ့ မြို့တော်က ဘာလဲ။,none
lmsys-7,my,နှစ်ခုပေါင်း နှစ်ခုဆိုတာဘာလဲ။,none
lmsys-8,my,121 ၏ နှစ်ထပ်ကိန်းအရင်းက အဘယ်နည်း။,none
lmsys-9,my,ငှက်ပျောသီးဆိုတာဘာလဲ။,none
lmsys-10,my,သုံးပါးငါးပါးဟူသည် အဘယ်နည်း။,none
lmsys-11,my,သစ်ပင်တစ်ပင်မှာ ငှက်ဆယ်ကောင်ရှိတယ်။ တစ်ကောင်က ပျံသွားရင် သစ်ပင်ပေါ်မှာ ဘယ်လောက်ကျန်နေလဲ။,none
lmsys-12,my,နေအဖွဲ့အစည်းထဲမှာ ဂြိုလ်ဘယ်နှစ်လုံးရှိလဲ။,none
lmsys-13,my,ဂျပန်မှာ အမြင့်ဆုံးတောင်က ဘာလဲ။,none
lmsys-14,my,တကယ်လို့ သင်ဟာ ပြိုင်ပွဲမှာ ဒုတိယနေရာကို ကျော်ဖြတ်ခဲ့မယ်ဆိုရင် အခု သင်ဘယ်နေရာကို ရောက်မလဲ။,none
lmsys-15,my,ကြောင်တွေမှာ အစွယ်ရှိပါသလား။,none
lmsys-16,my,ကောင်းကင်က ဘာအရောင်လဲ။,none
lmsys-17,my,လပေါ်မှာ ပထမဆုံးလူသားက ဘယ်သူလဲ။,none
lmsys-18,my,x+y = 8 နဲ့ (x/2) = 3 ဆိုရင် x နဲ့ y အတွက် တန်ဖိုးတွေက ဘာတွေလဲ။,none
lmsys-19,my,ဆယ့်ငါးနှစ်၏ အစွမ်းအားဖြင့် အဘယ်နည်း။,none
lmsys-20,my,ဂျာမနီနိုင်ငံရဲ့ မြို့တော်က ဘာလဲ။,none
lmsys-21,my,အစိမ်းရောင်ကားက ဘာအရောင်လဲ။,none
lmsys-22,my,အိန္ဒိယရဲ့ ပထမဆုံး ၀န်ကြီးချုပ်က ဘယ်သူလဲ။,none
lmsys-23,my,ဘယ်တိရစ္ဆာန်က ပိုမြန်နိုင်သလဲ- လိပ် သို့မဟုတ် ယုန်။,none
lmsys-24,my,180 ဒီဂရီရဲ့ sine ကဘာလဲ။,none
lmsys-25,my,2020 မှာ ဘယ်နိုင်ငံက လူဦးရေ အများဆုံးလဲ။,none
lmsys-26,my,Eiffel Tower က ဘယ်လောက်မြင့်လဲ။,none
lmsys-27,my,ခွေးဆိုတာ ဘာလဲ။,none
lmsys-28,my,ကားတစ်စီးသည် နှစ်နာရီအတွင်း မိုင် 120 ခရီးသွားပါက၊ ၎င်း၏ပျမ်းမျှအမြန်နှုန်းမှာ တစ်နာရီလျှင် မိုင်နှုန်းဘယ်လောက်ရှိသနည်း။,none
lmsys-29,my,တစ်ခု အပေါင်း နှစ် အနုတ် ၃ အပေါင်း လေး အနုတ် ငါး ဆိုတာ ဘာလဲ။,none
lmsys-30,my,အိန္ဒိယရဲ့ မြို့တော်က ဘာလဲ။,none
lmsys-31,my,ပထမဆုံး ဂဏန်းခုနစ်လုံးက ဘာလဲ။,none
lmsys-32,my,ပန်းသီးဆိုတာ ဘာလဲ။,none
lmsys-33,my,ကြက်တစ်ကောင်မှာ ခြေဘယ်နှစ်ချောင်းရှိလဲ။,none
lmsys-34,my,ဘရာဇီးနိုင်ငံရဲ့ မြို့တော်က ဘာလဲ။,none
lmsys-35,my,နှစ်ထပ်ကိန်းအရင်းကဘာလဲ။,none
lmsys-36,my,2017 မှာ သြစတြေးလျဝန်ကြီးချုပ်က ဘယ်သူလဲ။,none
lmsys-37,my,2018 ဘောလုံးကမ္ဘာ့ဖလားကို ဘယ်အသင်းက ရရှိခဲ့လဲ။,none
lmsys-38,my,အပေါင်းတစ်ဆိုတာ ဘာလဲ။,none
lmsys-39,my,၂၀၁၆ မှာ ပိုလန်သမ္မတက ဘယ်သူလဲ။,none
lmsys-40,my,အမေရိကန်ပြည်ထောင်စုရဲ့ ပထမဆုံးသမ္မတက ဘယ်သူလဲ။,none
lmsys-41,my,ငါးက အဓိကနံပါတ်လား။,none
lmsys-42,my,ဒီနေ့ အင်္ဂါနေ့ဆိုရင် သဘက်ခါ ဘယ်နေ့လဲ။,none
lmsys-43,my,လယ်သမားတစ်ယောက်မှာ သိုးခုနစ်ကောင်ရှိပြီး ကိုးကောင်သေရင် ဘယ်နှစ်ကောင်ကျန်မလဲ။,none
lmsys-44,my,2x+1=x ဆိုရင် x ဆိုတာဘာလဲ။,none
lmsys-45,my,ဥရောပမှာ ပါရီက ဘယ်မှာလဲ။,none
lmsys-46,my,2x+1=0 အတွက် အဖြေကဘာလဲ။,none
lmsys-47,my,ကိုး အပေါင်း ဆယ် ဆိုတာ ဘာလဲ ။,none
lmsys-48,my,ဘယ်နံပါတ်က အကြီးဆုံးပါ- နှစ်ဆယ်၊ သုံးဆယ့်လေး ဒါမှမဟုတ် သုံးဆယ့်တစ်။,none
lmsys-49,my,တရုတ်ပြည်ရဲ့ မြို့တော်က ဘာလဲ။,none
lmsys-50,my,စံတယောမှာ ကြိုးဘယ်နှစ်ကြိုးပါလဲ။,none
lmsys-51,my,(3/2)*x+1=0 ၏ အဖြေကား အဘယ်နည်း။,none
lmsys-52,my,ဂဏန်းငါးလုံးမှ ဆယ်လုံး၏ ပေါင်းလဒ်သည် အဘယ်နည်း။,none
lmsys-53,my,အနီရောင်နဲ့ အပြာရောင်ဆေးတွေကို ရောစပ်ပြီး နံရံကို သုတ်လိုက်ရင် နံရံရဲ့အရောင်က ဘယ်လိုဖြစ်မလဲ။,none
lmsys-54,my,သံတစ်ကီလိုဂရမ် သို့မဟုတ် ဝါဂွမ်းတစ်ကီလိုဂရမ်၊,none
lmsys-55,my,တစ်ရာ၏ နှစ်ထပ်ကိန်းအရင်းက အဘယ်နည်း။,none
lmsys-56,my,သုံးကြိမ် ခုနစ်ဟူသည် အဘယ်နည်း။,none
lmsys-57,my,2013 မှာ ပြင်သစ်သမ္မတက ဘယ်သူလဲ။,none
lmsys-58,my,3+3*5 ဆိုတာဘာလဲ။,none
lmsys-59,my,2000 နှစ်သည် ရက်ထပ်နှစ်ဖြစ်ပါသလား။,none
lmsys-60,my,ကျွန်ုပ်တို့၏ နေအဖွဲ့အစည်းတွင် နေမှ ပဉ္စမမြောက်ဂြိုဟ်သည် အဘယ်နည်း။,none
lmsys-61,my,ကြောင်ဆိုတာဘာလဲ။,none
lmsys-62,my,မြေကြီး ပြားသလား,none
lmsys-63,my,ကမ္ဘာပေါ်မှာ အမြင့်ဆုံးတောင်က ဘာလဲ။,none
lmsys-64,my,x + y = 10 နဲ့ x - y = 2 ဆိုရင် x နဲ့ y က ဘာလဲ။,none
lmsys-65,my,ခြင်္သေ့ဆိုတာဘာလဲ။,none
lmsys-66,my,အဝါ နဲ့ အပြာ ရောစပ်ခြင်းကနေ ဘယ်လိုအရောင် ရနိုင်မလဲ။,none
lmsys-67,my,ကြွက်တွေ ဘာစားလဲ။,none
lmsys-68,my,x ဆိုရင် 5x + 3 = 23 ရဲ့တန်ဖိုးကဘာလဲ။,none
lmsys-69,my,အနီးဆုံးဂဏန်းတစ်ခုလုံးအတွက် ၁၄၄ နှစ်ထပ်ကိန်းကဘာလဲ။,none
lmsys-70,my,တောင်အမေရိကရှိ ဘယ်နိုင်ငံ ဘယ်နှစ်နိုင်ငံက ဘရာဇီးနဲ့ နယ်နိမိတ်မခွဲတာလဲ။,none
lmsys-71,my,မြင်းဆိုတာ ဘာလဲ။,none
lmsys-72,my,ကမ္ဘာပေါ်မှာ အကြီးဆုံး သမုဒ္ဒရာက ဘာလဲ။,none
lmsys-73,my,Llama ဆိုတာ ဘာလဲ,none
lmsys-74,my,ကမ္ဘာပေါ်မှာ အကြီးဆုံးတိရစ္ဆာန်ကဘာလဲ။,none
lmsys-75,my,ဆွီဒင်၏မြို့တော်ကား အဘယ်နည်း။,none
lmsys-76,my,vegan တွေက ငါးစားသလား။,none
lmsys-77,my,ဘာပိုကြီးလဲ- နေ သို့မဟုတ် လ။,none
lmsys-78,my,2 + 2 * 3 ဆိုတာဘာလဲ။,none
lmsys-79,my,မြင်းဖြူရဲ့အရောင်က ဘာလဲ။,none
lmsys-80,my,အီတလီရဲ့မြို့တော်ကဘာလဲ။,none
lmsys-81,my,နယ်သာလန်၏မြို့တော်ကား အဘယ်နည်း။,none
lmsys-82,my,ပင်ဂွင်းတွေ ပျံသန်းနိုင်သလား။,none
lmsys-83,my,စစ်တုရင်ခုံပေါ်တွင် အနက်ရောင်စတုရန်းမည်မျှရှိသနည်း။,none
lmsys-84,my,2x + 5 = 15 ဆိုရင် x က ဘာလဲ။,none
lmsys-85,my,ဩစတေးလျရဲ့ မြို့တော်က ဘာလဲ။,none
lmsys-86,my,ကျွန်ုပ်တို့၏ နေအဖွဲ့အစည်းတွင် နေမှ ဒုတိယဂြိုဟ်သည် အဘယ်နည်း။,none
lmsys-87,my,လူသားနှစ်ကောင်နှင့် ကြောင်ငါးကောင် စုစုပေါင်းခြေထောက်ဘယ်နှစ်ချောင်းရှိပါသလဲ။,none
lmsys-88,my,Eiffel Tower သည် မည်သည့်မြို့၌ တည်ရှိသနည်း။,none
lmsys-89,my,နှစ်ဆယ့်ခုနစ်က အဓိကနံပါတ်လား။,none
lmsys-90,my,၁၉၅၅ ခုနှစ်တွင် အမေရိကန်ပြည်ထောင်စု၏ သမ္မတဖြစ်ခဲ့သူကား မည်သူနည်း။,none
lmsys-91,my,သာမာန်ခွေးတွေမှာ အမြီးဘယ်လောက်ရှိလဲ။,none
lmsys-92,my,နှစ်ဆသုံး လေး ညီမျှသလား။,none
lmsys-93,my,ငါ့မှာ ပန်းသီးနှစ်လုံးနဲ့ ငှက်ပျောသီးတစ်လုံးစားရင် ပန်းသီးဘယ်နှစ်လုံးကျန်မလဲ။,none
lmsys-94,my,ကမ္ဘာပေါ်မှာ အကြီးဆုံးရေကန်က ဘာလဲ။,none
lmsys-95,my,1၊ 4၊ 9၊ 16၊ 25 စသော အစီအစဥ်ရှိ နောက်နံပါတ်ကား အဘယ်နည်း။,none
lmsys-96,my,စတော်ဘယ်ရီသီးက ဘာအရောင်လဲ။,none
lmsys-97,my,5*5+5 ဆိုတာဘာလဲ။,none
lmsys-98,my,နှစ်အပေါင်းငါးဆိုတာဘာလဲ။,none
lmsys-99,my,သံပုရာသီးဆိုတာဘာလဲ။,none
lmsys-100,my,တစ်၊ သုံး၊ ခုနစ်၊ လေး နှင့် နှစ်ခု၏ ပျမ်းမျှ ပမာဏမှာ အဘယ်နည်း။,none
gpt-1,jw,Apa rumus kimia kanggo banyu?,chemistry
gpt-2,jw,Apa titik didih banyu ing permukaan laut?,chemistry
gpt-3,jw,Apa telung kahanan materi?,chemistry
gpt-4,jw,Apa sing kedadeyan ing banyu yen cukup adhem?,chemistry
gpt-5,jw,Apa unit paling cilik saka materi?,chemistry
gpt-6,jw,Apa gas sing kita ambegan kanggo tetep urip?,chemistry
gpt-7,jw,Apa proses nalika cairan dadi gas ing ngisor titik didih?,chemistry
gpt-8,jw,Apa jeneng partikel sing mbentuk inti atom?,chemistry
gpt-9,jw,Apa sing diarani owah-owahan cairan dadi padat?,chemistry
gpt-10,jw,Apa rumus kimia kanggo oksigen?,chemistry
gpt-11,jw,Pira warna ing pelangi?,physics
gpt-12,jw,Apa gaya sing narik obyek menyang Bumi?,physics
gpt-13,jw,Apa zat alam sing paling angel ing Bumi?,physics
gpt-14,jw,Kenapa es ngambang ing banyu?,physics
gpt-15,jw,Apa werni muter ing lemah pungkasanipun mandheg obah?,physics
gpt-16,jw,Apa istilah kanggo mlengkungake cahya nalika ngliwati banyu utawa kaca?,physics
gpt-17,jw,Napa balon helium munggah ing udhara?,physics
gpt-18,jw,Napa wulu tiba luwih alon tinimbang watu nalika tiba?,physics
gpt-19,jw,Apa jeneng pasukan sing ora katon sing ndadekake magnet narik obyek tartamtu?,physics
gpt-20,jw,Yagene kita ndeleng kilat sadurunge krungu gludhug nalika badai?,physics
gpt-21,jw,Sapa jenenge lintang sing paling cedhak karo Bumi?,astronomy
gpt-22,jw,Apa iku taun cahya?,astronomy
gpt-23,jw,Bumi duwe pirang rembulan?,astronomy
gpt-24,jw,Apa planet paling gedhe ing tata surya kita?,astronomy
gpt-25,jw,Apa sing diarani klompok planet sing ngubengi lintang?,astronomy
gpt-26,jw,Yagene Srengenge katon munggah ing sisih wetan lan surup ing sisih kulon?,astronomy
gpt-27,jw,Apa bolongan ireng?,astronomy
gpt-28,jw,Apa iku galaksi?,astronomy
gpt-29,jw,Apa iku komet?,astronomy
gpt-30,jw,Apa lintang paling gedhe ing tata surya kita?,astronomy
gpt-31,jw,Sapa sing dadi Kaisar pisanan ing China?,history
gpt-32,jw,Kutha apa sing dadi ibukutha pisanan ing Amerika Serikat?,history
gpt-33,jw,Ing taun pinten Amerika Serikat ngumumake kamardikan?,history
gpt-34,jw,Ing taun pinten manungsa pisanan ndharat ing rembulan?,history
gpt-35,jw,Kekaisaran endi sing dadi kekaisaran darat paling gedhe ing sejarah?,history
gpt-36,jw,Apa struktur Mesir kuna sing dikenal kanthi bentuk segi telu?,history
gpt-37,jw,Sapa sing dadi Perdana Menteri Inggris sajrone Perang Donya II?,history
gpt-38,jw,Ing taun apa Titanic tenggelam?,history
gpt-39,jw,Sapa presiden ireng pisanan ing Afrika Kidul?,history
gpt-40,jw,Ing taun apa Revolusi Rusia dumadi?,history
gpt-41,jw,Apa cacahe sepuluh lan lima?,maths
gpt-42,jw,Pira pitu dikali telu?,maths
gpt-43,jw,Apa akar kuadrat saka nembelas?,maths
gpt-44,jw,"Yen dikurangi wolung karo limalas, apa asile?",maths
gpt-45,jw,Apa regane rong puluh dibagi papat?,maths
gpt-46,jw,Apa produk enem lan sanga?,maths
gpt-47,jw,Apa sampeyan entuk yen sampeyan nambahake rolas lan wolulas?,maths
gpt-48,jw,Apa kuota nalika dibagi telung puluh lima?,maths
gpt-49,jw,"Yen ditambahake kuadrat telu dadi kuadrat papat, apa asile?",maths
gpt-50,jw,Apa sing isih ana nalika dibagi pitulas karo pitu?,maths
gpt-51,jw,Pira bawana?,geography
gpt-52,jw,Kali apa sing paling dawa ing donya?,geography
gpt-53,jw,Apa gunung paling dhuwur ing Amerika Utara?,geography
gpt-54,jw,Benua endi sing paling gedhe miturut dharatan?,geography
gpt-55,jw,Apa bawana paling cilik miturut luas darat?,geography
gpt-56,jw,Negara endi sing nduweni garis pantai paling dawa?,geography
gpt-57,jw,Samudra endi sing dumunung ing sisih kulon Amérika Kidul?,geography
gpt-58,jw,Apa basa resmi ing Brasil?,geography
gpt-59,jw,Apa grojogan paling dhuwur ing donya?,geography
gpt-60,jw,Apa negara paling gedhe ing donya miturut area darat?,geography
gpt-61,jw,Apa telung werna utama?,art
gpt-62,jw,Apa iku potret?,art
gpt-63,jw,Bentuk seni apa sing nggunakake kamera kanggo nggawe karya seni?,art
gpt-64,jw,Apa bahan utama sing digunakake kanggo nggawe patung?,art
gpt-65,jw,Sapa sing nglukis Mona Lisa?,art
gpt-66,jw,Apa sing diarani seni lipat kertas?,art
gpt-67,jw,Apa kolase?,art
gpt-68,jw,Apa sing sampeyan entuk nalika nyampur cat abang lan kuning?,art
gpt-69,jw,Apa sing kedadeyan yen sampeyan nyampur cat putih karo warna liyane?,art
gpt-70,jw,Apa sing kedadeyan yen sampeyan nyampur cat ireng karo warna liyane?,art
gpt-71,jw,"Ing bal-balan, bagean awak apa sing ora bisa ndemek bal, kajaba kiper?",sports
gpt-72,jw,"Apa game sing nggunakake werni bunder lan hoop, lan pemain ngetung poin kanthi mbuwang bal ing ring?",sports
gpt-73,jw,Apa sing diarani nalika sampeyan mencet bal bowling lan ngalahake kabeh pin?,sports
gpt-74,jw,Apa olahraga sing melu mencet werni karo bat lan mlaku watara basa?,sports
gpt-75,jw,"Olah raga apa sing kalebu nglangi, sepedaan, lan mlayu ing balapan?",sports
gpt-76,jw,"Ing olahraga apa pemain nyoba kanggo nglelebke cilik, werni putih menyang seri saka bolongan ing Course nggunakake stroke paling?",sports
gpt-77,jw,"Apa olahraga sing melu nunggang ombak ing Papan, nyoba kanggo ngadeg munggah lan imbangan?",sports
gpt-78,jw,Apa olahraga sing melu ngleyang ing es nggunakake glathi landhep ditempelake ing sepatu?,sports
gpt-79,jw,Apa olahraga melu ngusapake mudhun slope salju ing pasangan ski?,sports
gpt-80,jw,Ing olahraga apa atlit mbuwang werni heavy metal sabisa?,sports
gpt-81,jw,"Ing musik, apa sing diarani simbol sing ditulis sing makili nada sing beda?",music
gpt-82,jw,Apa jeneng kanggo grup gedhe saka musisi klasik sing muter bebarengan?,music
gpt-83,jw,"Ing musik, apa sing diarani dhuwur utawa asor saka swara?",music
gpt-84,jw,Apa istilah kanggo grup penyanyi sing tampil bebarengan?,music
gpt-85,jw,Pira senar gitar standar?,music
gpt-86,jw,"Ing musik, apa istilah kanggo kacepetan tembang?",music
gpt-87,jw,Apa tuladha alat musik sing sampeyan tiup kanggo nggawe musik?,music
gpt-88,jw,Apa instrumen sing sampeyan lakoni kanthi nggebug nganggo stik?,music
gpt-89,jw,Apa jeneng kanggo wong sing nulis musik?,music
gpt-90,jw,Apa werna tombol ing piano standar?,music
gpt-91,jw,Apa kewan darat paling gedhe?,animals
gpt-92,jw,Apa sing diklumpukake tawon saka kembang?,animals
gpt-93,jw,Apa kewan darat sing paling cepet?,animals
gpt-94,jw,Kewan apa sing dikenal kanthi bonggol lan urip ing ara-ara samun?,animals
gpt-95,jw,Apa conto manuk sing bisa nglangi nanging ora bisa mabur?,animals
gpt-96,jw,Reptil endi sing dikenal amarga ngganti warna kulit kanggo nyawiji karo lingkungane?,animals
gpt-97,jw,Kewan apa sing gulu dawa banget lan dikenal kanthi godhong dhuwur ing wit?,animals
gpt-98,jw,Manuk apa sing dikenal kanthi wulu sing warni lan bisa niru swara manungsa?,animals
gpt-99,jw,Mamalia cilik nokturnal endi sing dikenal amarga nggantung ing wit-witan?,animals
gpt-100,jw,Apa kucing gedhe sing paling gedhe lan dikenal kanthi garis ireng lan oranye sing khas?,animals
lmsys-1,jw,Sapa presiden pisanan Brasil?,none
lmsys-2,jw,Apa ibukutha Prancis?,none
lmsys-3,jw,Apa sing luwih abot: rong kilogram wulu utawa siji kilogram bata?,none
lmsys-4,jw,Sapa sing dadi Presiden Amerika Serikat ing 2013?,none
lmsys-5,jw,"Yen titik pungkasan bagean garis yaiku (2, -2) lan (10, -2), apa dawane segmen kasebut?",none
lmsys-6,jw,Apa ibukutha Tanzania?,none
lmsys-7,jw,Apa loro tambah loro?,none
lmsys-8,jw,Apa akar kuadrat saka 121?,none
lmsys-9,jw,Apa gedhang?,none
lmsys-10,jw,Apa telu kanggo daya lima?,none
lmsys-11,jw,"Ana sepuluh manuk ing wit. Yen siji mabur adoh, pira sing isih ana ing wit?",none
lmsys-12,jw,Pira planet ing tata surya?,none
lmsys-13,jw,Apa gunung paling dhuwur ing Jepang?,none
lmsys-14,jw,"Yen sampeyan melu balapan lan ngliwati wong kasebut ing posisi nomer loro, sampeyan bakal ana ing papan apa saiki?",none
lmsys-15,jw,Apa kucing duwe taring?,none
lmsys-16,jw,Apa warna langit?,none
lmsys-17,jw,Sapa wong pisanan ing rembulan?,none
lmsys-18,jw,Yen x + y = 8 lan (x/2) = 3 banjur apa nilai kanggo x lan y?,none
lmsys-19,jw,Apa limalas kanggo daya loro?,none
lmsys-20,jw,Apa ibukutha Jerman?,none
lmsys-21,jw,Apa warna mobil ijo?,none
lmsys-22,jw,Sapa sing dadi perdana menteri pisanan ing India?,none
lmsys-23,jw,Kewan endi sing bisa mlaku luwih cepet: penyu utawa terwelu?,none
lmsys-24,jw,Apa sinus 180 derajat?,none
lmsys-25,jw,"Ing taun 2020, negara endi sing nduwe populasi paling akeh?",none
lmsys-26,jw,Sepira dhuwure Menara Eiffel?,none
lmsys-27,jw,Apa iku asu?,none
lmsys-28,jw,"Yen mobil mlaku 120 mil sajrone rong jam, apa kacepetan rata-rata ing mil saben jam?",none
lmsys-29,jw,Apa siji ditambah loro dikurangi telu ditambah papat dikurangi lima?,none
lmsys-30,jw,Apa ibukutha India?,none
lmsys-31,jw,Apa pitung nomer prima pisanan?,none
lmsys-32,jw,Apa iku apel?,none
lmsys-33,jw,Pitik duwe pitik?,none
lmsys-34,jw,Apa ibukutha Brasil?,none
lmsys-35,jw,Apa akar kuadrat saka loro?,none
lmsys-36,jw,Sapa sing dadi perdana menteri Australia ing 2017?,none
lmsys-37,jw,Tim endi sing menang Piala Dunia Sepakbola ing 2018?,none
lmsys-38,jw,Apa siji plus siji?,none
lmsys-39,jw,Sapa sing dadi presiden Polandia ing 2016?,none
lmsys-40,jw,Sapa presiden pisanan ing Amerika Serikat?,none
lmsys-41,jw,Apa limang nomer prima?,none
lmsys-42,jw,"Yen dina iki dina Selasa, sesuk dina apa?",none
lmsys-43,jw,"Yen petani duwe wedhus pitulas lan kabeh mati mung sanga, isih pira?",none
lmsys-44,jw,"Yen 2x + 1 = x, apa x?",none
lmsys-45,jw,Ing endi ing Eropa yaiku Paris?,none
lmsys-46,jw,Apa solusi kanggo 2x + 1 = 0?,none
lmsys-47,jw,Apa sangang tambah sepuluh?,none
lmsys-48,jw,"Nomer endi sing paling gedhe: rong puluh, telung puluh papat utawa telung puluh siji?",none
lmsys-49,jw,Apa ibukutha China?,none
lmsys-50,jw,Pira senar biola standar?,none
lmsys-51,jw,Apa solusi saka (3/2)*x + 1 = 0?,none
lmsys-52,jw,Apa jumlah kabeh nomer saka limang nganti sepuluh?,none
lmsys-53,jw,"Yen aku nyampur cat abang lan biru lan banjur ngecet tembokku, apa warna tembokku?",none
lmsys-54,jw,Endi sing luwih abot: siji kilogram wesi utawa siji kilogram katun?,none
lmsys-55,jw,Apa akar kuadrat saka satus?,none
lmsys-56,jw,Apa telu kaping pitu?,none
lmsys-57,jw,Sapa sing dadi presiden Prancis ing 2013?,none
lmsys-58,jw,Apa 3+3*5?,none
lmsys-59,jw,Apa taun 2000 minangka taun kabisat?,none
lmsys-60,jw,Apa planet kaping lima saka srengenge ing tata surya kita?,none
lmsys-61,jw,Apa kucing?,none
lmsys-62,jw,Apa bumi datar?,none
lmsys-63,jw,Apa gunung paling dhuwur ing donya?,none
lmsys-64,jw,"Yen x + y = 10 lan x - y = 2, apa x lan y?",none
lmsys-65,jw,Apa iku singa?,none
lmsys-66,jw,Apa jenis warna sing bisa ditampa saka campuran kuning lan biru?,none
lmsys-67,jw,Apa sing dipangan tikus?,none
lmsys-68,jw,Pira regane x yen 5x + 3 = 23?,none
lmsys-69,jw,Apa akar kuadrat saka 144 kanggo nomer wutuh paling cedhak?,none
lmsys-70,jw,Loro negara ing Amerika Kidul sing ora duwe tapel wates karo Brasil?,none
lmsys-71,jw,Apa iku jaran?,none
lmsys-72,jw,Apa segara paling gedhe ing donya?,none
lmsys-73,jw,Apa iku Llama?,none
lmsys-74,jw,Apa kewan paling gedhe ing donya?,none
lmsys-75,jw,Apa ibukutha Swedia?,none
lmsys-76,jw,Apa vegan mangan iwak?,none
lmsys-77,jw,Apa sing luwih gedhe: srengenge utawa rembulan?,none
lmsys-78,jw,Apa 2 + 2 * 3?,none
lmsys-79,jw,Apa warna jaran putih?,none
lmsys-80,jw,Apa ibukutha Italia?,none
lmsys-81,jw,Apa ibukutha Walanda?,none
lmsys-82,jw,Apa penguin bisa mabur?,none
lmsys-83,jw,Pira kothak ireng ing papan catur?,none
lmsys-84,jw,"Yen 2x + 5 = 15, apa x?",none
lmsys-85,jw,Apa ibukutha Australia?,none
lmsys-86,jw,Apa planet kapindho saka srengenge ing tata surya kita?,none
lmsys-87,jw,Pira sikile wong loro lan limang kucing?,none
lmsys-88,jw,Menara Eiffel dumunung ing kutha apa?,none
lmsys-89,jw,Apa pitulikur nomer prima?,none
lmsys-90,jw,Sapa sing dadi Presiden Amerika Serikat ing taun 1955?,none
lmsys-91,jw,Pira buntut asu normal?,none
lmsys-92,jw,Apa loro kaping telu padha karo papat?,none
lmsys-93,jw,"Yen aku duwe loro apel lan mangan siji gedhang, pira apel sing isih ana?",none
lmsys-94,jw,Apa tlaga paling gedhe ing donya?,none
lmsys-95,jw,"Apa nomer sabanjure ing urutan sing diwiwiti 1, 4, 9, 16, 25?",none
lmsys-96,jw,Apa warna stroberi?,none
lmsys-97,jw,Apa 5 * 5 + 5?,none
lmsys-98,jw,Apa loro ditambah lima?,none
lmsys-99,jw,Apa lemon?,none
lmsys-100,jw,"Apa median saka siji, telu, pitu, papat lan loro?",none
gpt-1,mai,पानिक रासायनिक सूत्र की अछि ?,chemistry
gpt-2,mai,समुद्र तल पर पानिक उबलैत बिन्दु की होइत अछि ?,chemistry
gpt-3,mai,पदार्थक तीनू अवस्था की होइत अछि ?,chemistry
gpt-4,mai,जखन पानि पर्याप्त ठंडा भ जायत छै तखन की होयत छै?,chemistry
gpt-5,mai,पदार्थक सबसँ छोट इकाई की होइत अछि ?,chemistry
gpt-6,mai,जीबैत रहबाक लेल कोन गैस मे साँस लैत छी?,chemistry
gpt-7,mai,कोनों तरल पदार्थ अपन उबलैत बिंदु सं नीचा गैस मे बदलय कें प्रक्रिया की छै?,chemistry
gpt-8,mai,परमाणु के नाभिक के निर्माण करय वाला कण के नाम की छै ?,chemistry
gpt-9,mai,तरल पदार्थक ठोस पदार्थ मे परिवर्तन केँ अहाँ की कहैत छी ?,chemistry
gpt-10,mai,ऑक्सीजन के रासायनिक सूत्र की अछि ?,chemistry
gpt-11,mai,इंद्रधनुष मे कतेक रंग होइत छैक?,physics
gpt-12,mai,वस्तु के पृथ्वी के तरफ खींचै वाला बल की छै ?,physics
gpt-13,mai,पृथ्वी पर सबसँ कठोर प्राकृतिक पदार्थ की अछि ?,physics
gpt-14,mai,पानि पर बर्फ किएक बहैत अछि?,physics
gpt-15,mai,जमीन पर गुड़कैत गेंद अंततः हिलब किएक बंद भ' जाइत अछि?,physics
gpt-16,mai,प्रकाश के पानि या गिलास स गुजरला पर ओकर मोड़ के की शब्द छै ?,physics
gpt-17,mai,हवा मे हीलियमक गुब्बारा किएक उठैत अछि ?,physics
gpt-18,mai,पंख खसला पर चट्टानसँ बेसी धीरे किएक खसैत अछि ?,physics
gpt-19,mai,चुम्बक के किछु खास वस्तु के आकर्षित करय वाला अदृश्य बल के नाम की छै ?,physics
gpt-20,mai,आंधी-तूफानक समय मे गरज सुनबा सँ पहिने बिजली किएक देखैत छी?,physics
gpt-21,mai,पृथ्वी के सबसे नजदीकी तारा के नाम की छै ?,astronomy
gpt-22,mai,प्रकाश-वर्ष की होइत अछि ?,astronomy
gpt-23,mai,पृथ्वी पर कतेक चान अछि ?,astronomy
gpt-24,mai,हमरऽ सौरमंडल केरऽ सबसें बड़ऽ ग्रह की छै ?,astronomy
